state,tor_length,tor_width,year,injuries,fatalities,tor_scale_unified
TX,3.0,660.0,2004,2,0,EF1
NC,0.5,25.0,2004,0,0,EF0
TX,1.0,440.0,2004,0,0,EF2
KS,0.5,20.0,2004,0,0,EF0
TX,1.0,75.0,2004,1,0,EF0
TX,0.5,75.0,2004,0,0,EF0
TX,6.0,100.0,2004,0,0,EF1
MO,7.6,200.0,2004,5,0,EF2
MO,4.0,100.0,2004,0,0,EF1
KS,1.5,80.0,2004,0,0,EF1
TX,0.5,50.0,2004,0,0,EF1
WA,2.7,100.0,2004,0,0,EF0
LA,7.0,75.0,2004,0,0,EF1
TX,1.0,100.0,2004,0,0,EF0
TX,0.1,50.0,2004,0,0,EF0
MS,0.2,50.0,2004,0,0,EF0
OR,0.2,0.1,2004,0,0,EF0
TX,7.0,100.0,2004,0,0,EF1
TX,7.0,100.0,2004,0,0,EF1
OK,2.0,50.0,2004,0,0,EF0
OK,0.1,20.0,2004,0,0,EF0
OK,4.0,250.0,2004,0,0,EF1
OK,0.1,10.0,2004,0,0,EF0
OK,1.0,100.0,2004,0,0,EF1
OK,0.1,30.0,2004,0,0,EF0
OK,0.1,10.0,2004,0,0,EF0
OK,0.5,30.0,2004,0,0,EF0
OK,0.3,20.0,2004,0,0,EF0
OK,0.1,10.0,2004,0,0,EF0
OK,0.1,10.0,2004,0,0,EF0
TX,6.0,100.0,2004,0,0,EF1
TN,0.2,100.0,2004,0,0,EF0
NM,1.0,200.0,2004,0,0,EF1
NM,0.5,100.0,2004,0,0,EF0
NM,0.1,50.0,2004,0,0,EF0
IN,17.9,75.0,2004,0,0,EF2
IN,8.0,150.0,2004,0,0,EF1
WI,0.1,75.0,2004,0,0,EF0
MO,0.5,50.0,2004,0,0,EF0
MO,1.0,50.0,2004,0,0,EF0
NE,7.0,150.0,2004,0,0,EF1
MI,0.2,30.0,2004,0,0,EF0
WA,0.3,50.0,2004,0,0,EF0
MO,0.2,40.0,2004,0,0,EF0
IN,8.4,75.0,2004,0,0,EF1
IN,0.1,30.0,2004,0,0,EF0
IN,7.0,75.0,2004,0,0,EF1
MN,0.5,25.0,2004,0,0,EF0
MN,0.5,25.0,2004,0,0,EF0
NE,0.2,100.0,2004,0,0,EF0
MI,0.1,20.0,2004,0,0,EF0
MI,1.0,50.0,2004,0,0,EF1
IA,2.0,100.0,2004,0,0,EF0
MN,0.2,50.0,2004,0,0,EF1
TN,10.0,150.0,2004,0,0,EF1
TN,5.0,150.0,2004,0,0,EF1
TN,4.0,150.0,2004,0,0,EF1
TN,2.0,150.0,2004,0,0,EF1
TX,0.2,20.0,2004,0,0,EF0
TX,0.2,20.0,2004,0,0,EF0
MI,0.1,20.0,2004,0,0,EF0
MO,17.0,250.0,2004,1,0,EF2
MO,0.5,50.0,2004,0,0,EF0
MO,0.5,50.0,2004,0,0,EF0
MO,2.0,300.0,2004,0,0,EF1
IL,0.7,10.0,2004,0,0,EF0
VA,0.5,50.0,2004,0,0,EF0
IL,4.5,70.0,2004,0,0,EF1
OK,2.6,135.0,2004,0,0,EF1
IL,7.3,100.0,2004,1,1,EF1
IL,1.2,100.0,2004,1,0,EF2
NE,2.5,75.0,2004,0,0,EF0
ND,0.1,25.0,2004,0,0,EF0
ND,0.1,25.0,2004,0,0,EF0
ND,0.1,25.0,2004,0,0,EF0
ND,4.0,150.0,2004,0,0,EF1
SD,0.1,50.0,2004,0,0,EF0
SD,0.4,100.0,2004,0,0,EF0
IL,0.1,20.0,2004,0,0,EF0
WA,0.5,0.2,2004,0,0,EF0
OK,7.5,700.0,2004,0,0,EF3
OR,0.1,10.0,2004,0,0,EF0
MO,2.0,50.0,2004,0,0,EF0
IL,0.1,40.0,2004,0,0,EF0
CO,0.1,50.0,2004,0,0,EF0
OK,4.6,425.0,2004,0,0,EF1
SD,0.1,10.0,2004,0,0,EF0
SD,0.3,30.0,2004,0,0,EF0
IL,0.1,10.0,2004,0,0,EF0
MO,2.0,100.0,2004,0,0,EF0
NE,0.5,150.0,2004,0,0,EF1
NE,1.5,150.0,2004,0,0,EF1
MN,0.2,50.0,2004,0,0,EF1
IN,4.5,75.0,2004,0,0,EF1
IN,0.5,75.0,2004,0,0,EF1
IN,0.8,50.0,2004,0,0,EF0
IN,1.7,75.0,2004,0,0,EF0
IN,2.4,75.0,2004,0,0,EF0
KS,0.1,50.0,2004,0,0,EF0
TX,0.5,50.0,2004,0,0,EF0
ND,0.5,25.0,2004,0,0,EF0
ND,0.5,25.0,2004,0,0,EF0
NE,1.0,25.0,2004,0,0,EF0
IA,6.0,150.0,2004,0,0,EF1
NE,4.0,250.0,2004,0,0,EF1
NE,1.0,150.0,2004,0,0,EF1
CO,0.1,50.0,2004,0,0,EF0
CO,0.1,50.0,2004,0,0,EF0
TX,4.0,100.0,2004,0,0,EF1
TX,0.1,20.0,2004,0,0,EF0
TX,0.1,20.0,2004,0,0,EF0
OH,0.0,0.0,2004,0,0,EF0
MI,2.0,20.0,2004,0,0,EF0
ND,0.1,25.0,2004,0,0,EF0
ND,0.7,150.0,2004,0,0,EF2
ND,0.1,25.0,2004,0,0,EF0
CO,0.5,75.0,2004,0,0,EF1
CO,0.2,50.0,2004,0,0,EF0
KS,4.0,75.0,2004,2,0,EF3
TX,0.5,50.0,2004,0,0,EF0
MI,1.0,50.0,2004,0,0,EF0
IL,0.3,50.0,2004,0,0,EF1
IN,3.8,10.0,2004,0,0,EF0
IN,15.0,400.0,2004,11,1,EF3
